Frame,Visibility,X,Y,Time
0,1,781,443,00:00:00.0
1,1,781,451,00:00:00.03333333333333333
2,1,783,456,00:00:00.06666666666666667
3,1,785,465,00:00:00.1
4,1,786,476,00:00:00.13333333333333333
5,1,788,482,00:00:00.16666666666666666
6,0,0,0,00:00:00.2
7,0,0,0,00:00:00.23333333333333334
8,0,0,0,00:00:00.26666666666666666
9,1,717,331,00:00:00.3
10,1,706,306,00:00:00.3333333333333333
11,1,698,286,00:00:00.36666666666666664
12,1,688,271,00:00:00.4
13,1,682,256,00:00:00.43333333333333335
14,1,676,246,00:00:00.4666666666666667
15,1,671,236,00:00:00.5
16,1,666,228,00:00:00.5333333333333333
17,1,661,221,00:00:00.5666666666666667
18,1,656,217,00:00:00.6
19,1,652,212,00:00:00.6333333333333333
20,1,648,210,00:00:00.6666666666666666
21,1,646,208,00:00:00.7
22,1,643,206,00:00:00.7333333333333333
23,1,640,206,00:00:00.7666666666666666
24,1,636,206,00:00:00.8
25,1,633,206,00:00:00.8333333333333334
26,1,632,207,00:00:00.8666666666666667
27,1,630,208,00:00:00.9
28,1,627,211,00:00:00.9333333333333333
29,1,626,213,00:00:00.9666666666666667
30,1,625,216,00:00:01.0
31,1,622,221,00:00:01.0333333333333332
32,1,621,225,00:00:01.0666666666666667
33,1,618,230,00:00:01.1
34,1,618,236,00:00:01.1333333333333333
35,1,617,241,00:00:01.1666666666666667
36,1,616,246,00:00:01.2
37,1,616,252,00:00:01.2333333333333334
38,1,613,258,00:00:01.2666666666666666
39,1,613,265,00:00:01.3
40,1,612,273,00:00:01.3333333333333333
41,1,611,281,00:00:01.3666666666666667
42,1,611,287,00:00:01.4
43,1,611,296,00:00:01.4333333333333333
44,1,610,303,00:00:01.4666666666666666
45,1,608,311,00:00:01.5
46,1,608,321,00:00:01.5333333333333332
47,1,608,328,00:00:01.5666666666666667
48,1,607,336,00:00:01.6
49,1,607,346,00:00:01.6333333333333333
50,1,606,355,00:00:01.6666666666666667
51,1,606,365,00:00:01.7
52,1,606,373,00:00:01.7333333333333334
53,1,606,380,00:00:01.7666666666666666
54,1,611,345,00:00:01.8
55,1,616,317,00:00:01.8333333333333333
56,1,618,293,00:00:01.8666666666666667
57,1,622,268,00:00:01.9
58,1,626,248,00:00:01.9333333333333333
59,1,631,228,00:00:01.9666666666666666
60,1,633,210,00:00:02.0
61,1,636,191,00:00:02.033333333333333
62,1,641,176,00:00:02.0666666666666664
63,1,643,160,00:00:02.1
64,1,646,147,00:00:02.1333333333333333
65,1,648,133,00:00:02.1666666666666665
66,1,652,121,00:00:02.2
67,1,655,110,00:00:02.2333333333333334
68,1,656,98,00:00:02.2666666666666666
69,1,661,88,00:00:02.3
70,1,663,80,00:00:02.3333333333333335
71,1,666,71,00:00:02.3666666666666667
72,1,671,63,00:00:02.4
73,1,671,58,00:00:02.433333333333333
