Frame,Visibility,X,Y,Time
0,1,766,443,00:00:00.0
1,1,767,450,00:00:00.03333333333333333
2,1,768,456,00:00:00.06666666666666667
3,0,0,0,00:00:00.1
4,0,0,0,00:00:00.13333333333333333
5,1,775,483,00:00:00.16666666666666666
6,0,0,0,00:00:00.2
7,0,0,0,00:00:00.23333333333333334
8,0,0,0,00:00:00.26666666666666666
9,1,706,330,00:00:00.3
10,1,696,306,00:00:00.3333333333333333
11,1,687,287,00:00:00.36666666666666664
12,1,678,271,00:00:00.4
13,1,672,256,00:00:00.43333333333333335
14,1,667,246,00:00:00.4666666666666667
15,1,661,236,00:00:00.5
16,1,656,228,00:00:00.5333333333333333
17,1,651,221,00:00:00.5666666666666667
18,1,647,217,00:00:00.6
19,1,643,213,00:00:00.6333333333333333
20,1,640,211,00:00:00.6666666666666666
21,1,636,208,00:00:00.7
22,1,633,206,00:00:00.7333333333333333
23,1,631,206,00:00:00.7666666666666666
24,1,628,206,00:00:00.8
25,1,626,206,00:00:00.8333333333333334
26,1,623,207,00:00:00.8666666666666667
27,1,621,208,00:00:00.9
28,1,620,211,00:00:00.9333333333333333
29,1,618,213,00:00:00.9666666666666667
30,1,616,217,00:00:01.0
31,1,615,221,00:00:01.0333333333333332
32,1,613,226,00:00:01.0666666666666667
33,1,611,230,00:00:01.1
34,1,611,236,00:00:01.1333333333333333
35,1,608,241,00:00:01.1666666666666667
36,1,608,246,00:00:01.2
37,1,607,253,00:00:01.2333333333333334
38,1,606,258,00:00:01.2666666666666666
39,1,606,266,00:00:01.3
40,1,605,273,00:00:01.3333333333333333
41,1,603,281,00:00:01.3666666666666667
42,1,603,286,00:00:01.4
43,1,603,296,00:00:01.4333333333333333
44,1,602,303,00:00:01.4666666666666666
45,1,601,311,00:00:01.5
46,1,601,321,00:00:01.5333333333333332
47,1,601,328,00:00:01.5666666666666667
48,1,601,336,00:00:01.6
49,1,601,346,00:00:01.6333333333333333
50,1,600,355,00:00:01.6666666666666667
51,1,598,365,00:00:01.7
52,1,598,372,00:00:01.7333333333333334
53,1,597,381,00:00:01.7666666666666666
54,1,605,345,00:00:01.8
55,1,607,316,00:00:01.8333333333333333
56,1,611,295,00:00:01.8666666666666667
57,1,615,268,00:00:01.9
58,1,618,248,00:00:01.9333333333333333
59,1,621,228,00:00:01.9666666666666666
60,1,623,208,00:00:02.0
61,1,627,192,00:00:02.033333333333333
62,1,631,176,00:00:02.0666666666666664
63,1,633,161,00:00:02.1
64,1,636,147,00:00:02.1333333333333333
65,1,637,133,00:00:02.1666666666666665
66,1,641,121,00:00:02.2
67,1,643,110,00:00:02.2333333333333334
68,1,646,100,00:00:02.2666666666666666
69,1,648,88,00:00:02.3
70,1,652,81,00:00:02.3333333333333335
71,1,653,71,00:00:02.3666666666666667
72,1,656,65,00:00:02.4
73,1,660,57,00:00:02.433333333333333
74,1,661,53,00:00:02.466666666666667
75,1,663,48,00:00:02.5
76,1,666,46,00:00:02.533333333333333
77,1,668,42,00:00:02.5666666666666664
78,1,671,41,00:00:02.6
79,1,673,41,00:00:02.6333333333333333
80,1,676,41,00:00:02.6666666666666665
81,1,678,43,00:00:02.7
82,1,681,46,00:00:02.7333333333333334
83,1,681,51,00:00:02.7666666666666666
84,1,685,57,00:00:02.8
85,1,686,63,00:00:02.8333333333333335
86,1,688,71,00:00:02.8666666666666667
87,1,691,82,00:00:02.9
88,1,691,93,00:00:02.933333333333333
89,1,693,106,00:00:02.966666666666667
90,1,696,121,00:00:03.0
91,1,697,136,00:00:03.033333333333333
92,1,698,153,00:00:03.0666666666666664
93,1,701,171,00:00:03.1
94,1,701,191,00:00:03.1333333333333333
